1733,35,40,5
1733,55,56,1
877,18,21,3
877,37,55,18
1987,3,44,41
2039,40,41,1
2039,47,59,12
1867,27,33,6
2663,11,36,25
2347,44,51,7
1013,14,17,3
1217,16,37,21
1217,47,50,3
1249,48,58,10
3541,1,37,36
661,22,51,29
509,36,58,22
1867,11,58,47
1733,7,40,33
661,40,54,14
1013,41,57,16
877,3,12,9
2663,2,12,10
211,15,53,38
809,47,56,9
809,43,55,12
191,12,36,24
191,53,55,2
1249,16,55,39
349,24,37,13
349,49,53,4
1249,54,58,4
769,15,18,3
2039,9,37,28
2039,51,56,5
809,39,51,12
2347,9,10,1
2347,48,57,9
2039,16,56,40
211,37,50,13
211,55,58,3
509,6,43,37
661,14,27,13
661,49,59,10
509,4,58,54
2347,23,29,6
2347,33,51,18
211,41,42,1
1733,10,29,19
1733,36,59,23
1867,6,11,5
1867,42,53,11
2347,27,57,30
509,27,57,30
1217,7,12,5
1217,28,30,2
1217,35,39,4
1217,46,54,8
1867,42,57,15
509,11,52,41
877,7,19,12
877,29,37,8
877,46,56,10
2347,31,59,28
211,36,53,17
661,23,43,20
1217,26,41,15
1217,47,49,2
1217,54,56,2
809,2,47,45
661,6,18,12
661,24,48,24
877,28,44,16
877,54,59,5
211,25,49,24
211,18,40,22
211,43,44,1
211,52,56,4
2347,30,35,5
2347,55,57,2
877,6,52,46
1453,11,50,39
2663,53,57,4
661,28,48,20
233,48,55,7
1733,14,26,12
1733,40,57,17
769,38,55,17
1733,8,54,46
211,19,37,18
211,43,48,5
1987,21,43,22
1987,46,52,6
1987,55,57,2
349,8,28,20
349,43,55,12
1453,10,56,46
1249,35,55,20
1217,19,47,28
211,7,29,22
211,42,46,4
2039,47,51,4
1217,5,18,13
1217,35,59,24
1867,13,31,18
191,28,49,21
509,10,41,31
509,10,37,27
509,42,57,15
2347,13,52,39
809,0,53,53
1867,39,59,20
1249,19,53,34
1249,56,57,1
211,22,23,1
211,44,47,3
1733,2,23,21
1453,25,42,17
2347,1,44,43
2347,52,57,5
1013,14,29,15
1013,34,56,22
809,23,56,33
349,28,51,23
1249,28,57,29
1217,8,28,20
191,26,42,16
809,11,57,46
2039,23,55,32
661,19,30,11
661,38,57,19
1987,23,56,33
509,5,6,1
509,15,38,23
509,43,48,5
2663,17,27,10
2663,33,49,16
2663,56,58,2
661,28,46,18
661,49,54,5
3541,10,37,27
1867,41,49,8
1867,54,58,4
2347,28,49,21
1217,22,28,6
1217,32,58,26
1987,22,30,8
1987,42,57,15
2347,23,48,25
2347,51,53,2
2039,39,50,11
2663,27,45,18
1987,42,48,6
1987,55,59,4
3541,12,25,13
3541,48,50,2
1867,44,48,4
191,34,41,7
769,17,35,18
769,48,51,3
233,35,58,23
877,2,42,40
877,45,57,12
1453,9,15,6
1453,38,56,18
877,10,38,28
2039,18,25,7
2039,42,53,11
2039,56,57,1
809,46,47,1
1733,34,39,5
1733,42,50,8
2039,20,58,38
349,3,47,44
349,50,58,8
191,33,50,17
349,27,52,25
1733,34,49,15
1867,13,28,15
1867,45,47,2
1867,56,57,1
661,36,52,16
809,1,10,9
809,37,48,11
1867,4,31,27
1217,7,30,23
1217,36,37,1
1217,52,57,5
1733,36,41,5
1733,57,58,1
3541,11,19,8
3541,30,32,2
1733,38,43,5
1733,52,55,3
809,31,34,3
809,41,42,1
809,47,55,8
3541,26,53,27
1733,37,42,5
1733,46,48,2
1733,56,59,3
1013,21,36,15
1013,46,48,2
1453,56,58,2
1733,15,30,15
1733,36,49,13
2347,13,32,19
2347,51,55,4
1013,36,44,8
877,11,26,15
877,44,58,14
349,12,43,31
349,50,55,5
1733,24,39,15
769,48,57,9
1867,0,57,57
349,0,10,10
349,44,49,5
349,15,33,18
349,13,25,12
349,30,58,28
1987,5,55,50
509,0,29,29
509,48,49,1
3541,9,18,9
3541,21,48,27
211,23,34,11
211,43,54,11
1987,1,25,24
3541,46,55,9
2663,28,49,21
2663,56,57,1
